NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK
1010006001,101,약수역(서울3호선),0,
1010006002,101,신당동373-26,0,
1010006400,101,남산공원길삼거리,0,
1010006500,101,남산삼거리,0,
1010006700,101,서울역고가차도서측,0,
1010006900,101,남산2호터널입구,0,
1010007100,104,남산2호터널북측,0,
1010007300,101,남산2호터널입구,0,
1010007400,101,남산2호터널입구,0,
1010007600,101,남산2호터널입구교차로,0,
1010007800,104,약수고가차도북측,1,
1010007900,101,경림회관,0,
1010008000,101,남산한옥마을,0,
1010008001,101,예장동2-102,0,
1010008100,101,서울역,1,
1010008200,101,숭의여자대학,0,
1010008201,101,퇴계로3가교차로,0,
1010008300,101,스무티킹서울역사점,0,
1010008400,101,스무티킹서울역사점,0,
1010008500,101,서울역서부교차로,1,
1010008700,101,서울역4번출구,0,
1010008800,104,서울역고가차도동측,0,
1010008900,103,속성변화점,1,
1010009000,101,한국정밀공학회,0,
1010009100,101,서울역,0,
1010009200,101,체리까페,0,
1010009300,101,서울역,0,
1010009400,101,서울역3번출구,0,
1010009500,101,경림회관,0,
1010009600,101,금호여중,0,
1010009601,101,신당동282-32,0,
1010009602,101,청구역(서울5호선),0,
1010009603,101,신당동289-7,0,
1010009700,101,서울역소화물취급소,0,
1010009800,101,청암빌딩,0,
1010009900,101,장충체육관앞,0,
1010010000,101,중림동,0,
1010010100,101,장충체육관앞,0,
1010010200,104,의주로지하차도남측,0,
1010010300,101,장충체육관앞,0,
1010010400,101,장충체육관앞교차로,1,
1010010500,101,장충체육관앞,0,
1010010600,101,중림동삼거리,1,
1010010700,101,충정로역가구상가,0,
1010010900,101,충정로역가구상가,0,
1010011000,101,중림동삼거리,0,
1010011100,101,숭례문,0,
1010011200,101,충정로역가구상가,0,
1010011400,101,숭례문학당,0,
1010011500,101,중림동삼거리,0,
1010011600,101,미도파빌딩,0,
1010011700,101,회현역7번출구,0,
1010011800,101,중림동,0,
1010012000,101,엠버서더호텔,0,
1010012100,101,염천교앞교차로,1,
1010012200,101,숭례문학당,0,
1010012400,101,연세봉래빌딩,1,
1010012500,101,회현동2가73,0,
1010012600,101,장충체육관앞,0,
1010012700,101,장충체육관앞,0,
1010012800,101,남산안기부터공원,0,
1010012900,101,회현동2가73,0,
1010013100,101,필동2가삼익주택,0,
1010013500,101,서울태평로우체국,1,
1010013600,101,회현동2가82-1,0,
1010013800,101,숭례문앞교차로,1,
1010013900,101,오리엔스호텔&레지던스,0,
1010014000,101,매일경제티브이아트앤디자인센터,0,
1010014100,101,회현동2가73,0,
1010014300,101,대한적십자사,0,
1010014400,101,필동사무소,0,
1010014500,101,청구역앞교차로,1,
1010014600,101,주자동빌딩,0,
1010014800,101,숭례문,0,
1010014900,101,회현사거리,1,
1010015000,101,숭례문,0,
1010015100,101,회현동2가1-1,0,
1010015200,101,남양알로에,0,
1010015300,101,명동역10번출구,0,
1010015400,101,충무로1가52-4,0,
1010015500,101,숭례문앞,0,
1010015600,101,충무로1가26-1,0,
1010015700,101,숭례문,0,
1010015800,104,의주로지하차도,0,
1010015900,104,서소문고가차도서측,0,
1010016000,101,연정가든,1,
1010016100,101,충무로1가52-41,0,
1010016200,101,신일빌딩,1,
1010016300,101,명동역1번출구,0,
1010016400,101,충무로1가26-1,0,
1010016500,101,충무로역앞교차로,1,
1010016600,101,서울상공회의소,0,
1010016700,101,흥국빌딩,0,
1010016800,101,퇴계지하차도,0,
1010016900,101,한국은행앞,1,
1010017000,101,퇴계로2가교차로,1,
1010017100,101,중앙일보빌딩,0,
1010017200,101,삼성공제회관,1,
1010017500,101,경찰청앞,0,
1010017600,101,진양상가,1,
1010017700,101,LG패션,1,
1010017800,101,삼성본관,1,
1010017801,101,소공동주민센터,0,
1010017900,101,한국은행앞교차로,1,
1010018000,101,임광빌딩,1,
1010018100,101,동북아문화연구원,1,
1010018200,101,경찰청앞교차로,1,
1010018300,101,산다빌딩,0,
1010018400,101,극동빌딩,1,
1010018500,101,서소문교회,0,
1010018600,101,덕양빌딩,1,
1010018700,101,경찰청앞,1,
1010018701,101,순화동1-173,0,
1010018800,101,퇴계로4가사거리,1,
1010018900,101,충무로역8번출구,0,
1010019000,101,퇴계로5가,1,
1010019100,101,서소문고가차도동측,0,
1010019200,101,퇴계로5가,0,
1010019300,101,퇴계로5가,0,
1010019400,101,호운빌딩,1,
1010019500,101,배재빌딩,1,
1010019600,101,서울퇴계로5가우체국,1,
1010019700,101,퇴계로5가,0,
1010019800,101,퇴계4가,1,
1010019900,101,퇴계로5가,0,
1010020000,101,바비엥-1,0,
1010020100,101,신당빌딩,1,
1010020200,101,중앙일보사,1,
1010020300,101,퇴계로5가사거리,1,
1010020400,101,퇴계로5가,0,
1010020500,101,이화길삼거리,0,
1010020501,101,의주로1가30-1,0,
1010020600,101,퇴계로5가,0,
1010020700,101,신동아빌딩,0,
1010020900,101,퇴계로5가,0,
1010021000,101,퇴계로5가,0,
1010021100,101,롯데명품관,1,
1010021101,101,명동1가5-4,0,
1010021200,101,우성빌딩,1,
1010021400,101,장충동1가26-1,0,
1010021500,101,장충동1가26-1,0,
1010021600,101,시청앞광장,1,
1010021700,101,소공로지하상가,1,
1010021800,101,쌍림동280-6,0,
1010022000,101,광희동1가202-5,0,
1010022100,101,광희동사거리,1,
1010022200,101,광희동2가257,0,
1010022300,101,호텔피제이앞,0,
1010022500,101,명보사거리,1,
1010022600,101,광희동2가328,0,
1010022800,101,광희동1가203,0,
1010023000,101,광희동1가169-1,0,
1010023100,101,서울프라자호텔,1,
1010023200,101,바비엥스위트,1,
1010023300,101,조선호텔,1,
1010023500,101,동대문역사문화공원역3번출구,0,
1010023600,101,명동성당앞,0,
1010023601,101,을지로2가교차로,0,
1010023700,101,오장동사거리,1,
1010023800,101,광희동2가9,0,
1010023900,101,이화여고,0,
1010024000,101,한양공고앞,0,
1010024100,101,광희동2가9,0,
1010024200,101,시청앞교차로,1,
1010024300,101,한양공고앞,0,
1010024400,101,한양공고앞,1,
1010024500,101,성동여자실업고교앞,1,
1010024700,101,시청앞광장,1,
1010024900,101,금성빌딩,1,
1010025000,101,서대문역,1,
1010025100,101,신당역,1,
1010025300,101,서대문역,0,
1010025400,101,한양공고앞,0,
1010025500,101,신당역사거리,1,
1010025501,101,신당역(서울6호선),1,
1010025600,101,동대문역사문화공원,0,
1010025700,101,동대문역사문화공원역앞교차로,0,
1010025800,101,서대문역,0,
1010025900,101,을지로1가,0,
1010026000,101,을지로1가,0,
1010026100,101,기업은행성동지점,1,
1010026101,101,신당5동주민센터,0,
1010026300,101,신당중앙시장,1,
1010026500,101,동대문역사문화공원,0,
1010026700,101,농협중앙회중앙본부,0,
1010026800,101,동대문역사문화공원,0,
1010026900,101,동대문역사문화공원,0,
1010027000,101,서대문역사거리,1,
1010027100,101,을지로1가,0,
1010027200,101,을지로1가50-1,1,
